央视频道,#genre#
CCTV1综合,rtsp://112.50.233.148/PLTV/88888888/224/3221226834/48356507.smil#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/1.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226773/1.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/TVOD/3221226226/1.m3u8#http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls#http://223.110.243.146/ott.js.chinamobile.com/PLTV/3/224/3221227634/index.m3u8#http://183.207.249.36/PLTV/3/224/3221227431/index.m3u8#http://39.135.34.142:8080/000000001000/1000000001000021973/3.m3u8?#http://183.251.61.207/PLTV/88888888/224/3221225812/index.m3u8#http://117.169.120.140:8080/live/cctv-1/.m3u8#http://39.135.135.60/PLTV/88888888/224/3221225686/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226715/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8#http://223.110.245.173/PLTV/4/224/3221227375/1.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225499/index.m3u8#http://39.135.140.200:6610/PLTV/88888888/224/3221225642/2/index.m3u8?fmt=ts2hls#http://182.138.51.79/PLTV/88888920/224/3221225792/index.m3u8#http://223.110.242.133:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/#http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8#http://183.207.249.36/PLTV/3/224/3221227575/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8#http://121.31.30.91:8081/ysten-business/live/hdcctv01/1.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-1/yst.m3u8#http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8#http://live.hcs.cmvideo.cn:8088/wd_r2/cctv/cctv1hd/2500/index.m3u8?ProgramID=&encrypt=#http://111.20.106.16:6610/bestv/2/ch00000090990000001069/index.m3u8?&virtualDomain=bestv.live_hls.zte.com#http://otttv.bj.chinamobile.com/PLTV/88888888/TVOD/3221226338/1.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/TVOD/3221226154/1.m3u8
CCTV13新闻,rtsp://112.50.233.148/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/1.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226769/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8#http://117.136.156.42/PLTV/88888888/224/3221225510/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/TVOD/3221226316/1.m3u8#http://221.179.136.144/PLTV/88888888/224/3221226316/1.m3u8#http://183.207.249.36/PLTV/4/224/3221227387/index.m3u8#http://223.110.243.139/PLTV/3/224/3221227601/index.m3u8#http://117.169.120.140:8080/live/cctv-13/.m3u8#http://223.110.242.133:6610/gitv/live1/G_CCTV-13-HQ/#http://111.12.110.78:6610/000000001000/6918130250570453526/1.m3u8?channel-id=ystenlive&Contentid=6918130250570453526&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=6918130250570453526&owchid=ystenlive&owsid=4493204828791728820&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5SJckYix32FQdWweMjZIfA%2fb3c6oce5W%2ffJT7MwPW%2fIEuLykCNnwtEYqj9vsrno4cPWC1tbj9jLkqzQnhkro8C&IASHttpSessionId=SLB381020180727145954813883#http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-13/1.m3u8#http://223.110.242.133:6610/cntv/live1/cctv-13/index.m3u8#http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls#http://39.135.43.69/PLTV/88888888/224/3221226418/index.m3u8#http://39.135.140.200:6610/PLTV/88888888/224/3221225638/2/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv13.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225599/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225572/index.m3u8#http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/cctv/2000204603.m3u8#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil#http://stream4.jlntv.cn/cctv13/sd/live.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel16/1080p.m3u8#http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228266/index.m3u8?fmt=ts2hls#http://otttv.bj.chinamobile.com/PLTV/88888888/TVOD/3221226316/1.m3u8#http://stream4.jlntv.cn:80/cctv13/sd/live.m3u8
CCTV4中文国际,rtsp://112.50.233.148/PLTV/88888888/224/3221226633/40417241.smil#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226784/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8#http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8#http://223.110.243.139/PLTV/3/224/3221225534/index.m3u8#http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls#http://39.135.140.200:6610/PLTV/88888888/224/3221225842/2/index.m3u8#http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/cctv/2000204803.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221227549/index.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/TVOD/3221226314/1.m3u8#http://117.169.120.140:8080/live/cctv-4/.m3u8#http://223.110.242.133:6610/gitv/live1/G_CCTV-4-CQ/#http://183.207.248.71/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ#http://cctvalih5ca.v.myalicdn.com/live/cctv4_2/index.m3u8#http://183.207.255.190/live/program/live/cctv4sd/4000000/mnf.m3u8#http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8#http://cctvalih5ca.v.myalicdn.com/live/cctv4_2/index.m3u8#http://39.134.39.37/PLTV/88888888/224/3221225719/index.m3u8
CCTV11戏曲,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221225996/10000100000000060000000002296743_0.smil#rtsp://183.252.166.199:554/PLTV/88888888/224/3221225996/10000100000000060000000002296743_0.smil#http://27.148.240.138/PLTV/88888888/224/3221226888/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8#http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227720/index.m3u8#http://223.110.243.139/PLTV/3/224/3221227524/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/TVOD/3221226334/1.m3u8#http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/cctv/2000204103.m3u8#http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225746/1/index.m3u8?fmt=ts2hls#http://117.169.120.140:8080/live/cctv-11/.m3u8#http://ivi.bupt.edu.cn/hls/cctv11.m3u8#http://223.110.242.133:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/#http://cctvalih5ca.v.myalicdn.com/live/cctv11_2/index.m3u8#http://39.135.34.142:8080/000000001000/1000000002000019789/1.m3u8?
东南卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil#http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226877/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225580/index.m3u8#http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221231261/01.m3u8?fmt=ts2hls#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226406/1.m3u8#http://ivi.bupt.edu.cn/hls/dnhd.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8#http://39.135.140.200:6610/PLTV/88888888/224/3221225585/2/index.m3u8?fmt=ts2hls#http://117.169.120.136:8080/live/dongnanstv/.m3u8#http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/cctv/2000292503.m3u8#http://183.207.255.190/live/program/live/dnwshd/4000000/mnf.m3u8#http://112.132.209.46/liveplay-kk.rtxapp.com/live/program/live/dnwshd/4000000/mnf.m3u8#http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225739/1/index.m3u8?fmt=ts2hls#http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226061/1/index.m3u8?fmt=ts2hls#http://223.110.242.133:6610/cntv/live1/dongnanstv/dongnanstv#http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8#http://120.221.44.101:8089/PLTV/88888888/224/3221225649/1.m3u8#http://player.200877926.top/1786/fj/fjtvm3u8.php?id=5#http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226046/index.m3u8#http://39.135.140.200:6610/PLTV/88888888/224/3221225830/2/index.m3u8?fmt=ts2hls#http://player.200877926.top/1786/fj/fjtvm3u8.php?id=5
福建新闻,rtsp://112.50.233.148/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil#http://27.148.240.138/PLTV/88888888/224/3221226736/1.m3u8#http://gslb.dianshihome.com/gslb/live?stream_id=fjtv_fujianxw#http://106.13.68.56/dlcs/fjtvv.php?id=13#http://player.ioioz.com/18/tv.php?tv=fjtv&id=fjxw#http://player.200877926.top/1786/fj/fjtvm3u8.php?id=13
漳州-1,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8
厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226744/1.m3u8#http://xiamencncc.v.wscdns.com/xiamen/xiamen_1/index.m3u8#http://xiamenalic.v.myalicdn.com/xiamen/R7U7es_1/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226219/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226964/index.m3u8#rtsp://112.50.233.148/PLTV/88888888/224/3221226124/10000100000000060000000002358105_0.smil#http://112.50.243.8/PLTV/88888888/224/3221226781/1.m3u8#http://cstvpull.live.wscdns.com/live/xiamen.flv#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226124/10000100000000060000000002358105_0.smil#http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xiamen_2_hd.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xiamen4_2_hd.m3u8#http://223.110.242.133:6610/gitv/live1/G_XIAMEN/G_XIAMEN/#http://39.134.168.91/PLTV/1/224/3221225640/index.m3u8#http://live2.setvn.com:9095/live/xm1_1200.m3u8
海峡卫视,rtsp://112.50.233.148/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil#rtsp://183.252.166.199/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil#http://112.50.243.8/PLTV/88888888/224/3221226977/1.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8#http://gslb.dianshihome.com/gslb/live?stream_id=fjtv_fujianhx#http://player.200877926.top/1786/fj/fjtvm3u8.php?id=3
福建综合,rtsp://112.50.233.148/PLTV/88888888/224/3221226826/47882539.smil#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226826/47882539.smil#rtsp://183.252.166.199/PLTV/88888888/224/3221226826/47882539.smil#http://27.148.240.138/PLTV/88888888/224/3221226722/1.m3u8#http://gslb.dianshihome.com/gslb/live?stream_id=fjtv_fujianzh#http://player.200877926.top/1786/fj/fjtvm3u8.php?id=4
